"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"115","bmg2021uxii","2021-10-25T09:02:40.797769Z","-0.1381545365","123.1847839","3.572506386","M","81","24","105.4546547","Minahassa Peninsula, Sulawesi","BMKG"
"116","bmg2021uxfs","2021-10-25T07:43:16.546325Z","-7.301537991","110.3812943","2.681032621","M","10","24","69.19723511","Java, Indonesia","BMKG"
"117","bmg2021uxea","2021-10-25T06:52:06.069037Z","-9.302137375","107.8140106","5.007662304","Mw(mB)","13","161","43.93011475","South of Java, Indonesia","BMKG"
"118","bmg2021uxbd","2021-10-25T05:25:22.207345Z","-2.794215918","122.2120285","3.679354179","M","10","37","157.324995","Sulawesi, Indonesia","BMKG"
"119","bmg2021uxag","2021-10-25T04:57:48.060938Z","-4.13270092","128.8571777","3.366307113","M","10","17","190.9537048","Banda Sea","BMKG"
"120","bmg2021uwzc","2021-10-25T04:23:03.109915Z","1.905877233","120.9983978","3.55051583","M","13","19","161.1283188","Minahassa Peninsula, Sulawesi","BMKG"
"121","bmg2021uwwj","2021-10-25T03:00:12.109483Z","1.837598562","127.2534943","3.35815524","M","86","16","85.78443146","Halmahera, Indonesia","BMKG"
"122","bmg2021uwvk","2021-10-25T02:30:48.911739Z","0.505854845","123.5878448","4.654896604","M","238","128","79.02784157","Minahassa Peninsula, Sulawesi","BMKG"
"123","bmg2021uwue","2021-10-25T01:53:40.300675Z","5.869023323","125.287262","4.795151688","M","81","14","149.9114628","Mindanao, Philippines","BMKG"
"124","bmg2021uwud","2021-10-25T01:52:23.938773Z","-7.806573391","110.8926773","5.270906944","M","82","10","203.2441177","Java, Indonesia","BMKG"
"125","bmg2021uwmh","2021-10-24T21:54:51.325805Z","3.137173891","127.9100113","4.774477219","M","20","45","185.3060913","Talaud Islands, Indonesia","BMKG"
"126","bmg2021uwiq","2021-10-24T20:04:28.224581Z","0.2613814473","121.8333817","3.269312828","M","188","51","50.60990906","Minahassa Peninsula, Sulawesi","BMKG"
"127","bmg2021uwin","2021-10-24T20:00:18.737723Z","-5.047532082","99.66210938","5.60655331","M","221","11","235.7246475","Southwest of Sumatra, Indonesia","BMKG"
"128","bmg2021uwfo","2021-10-24T18:30:51.673584Z","-9.368927002","114.3844452","3.123870628","M","17","43","215.1422195","South of Bali, Indonesia","BMKG"
"129","bmg2021uwfh","2021-10-24T18:23:25.891864Z","-3.877261877","128.6009674","1.764634002","M","10","8","234.0232124","Seram, Indonesia","BMKG"
"130","bmg2021uweq","2021-10-24T18:03:05.696901Z","-3.435600281","129.4198608","3.035155443","M","10","19","102.5304718","Seram, Indonesia","BMKG"
"131","bmg2021uwek","2021-10-24T17:55:58.734716Z","1.507384062","98.94920349","2.794225864","M","95","44","79.23319817","Northern Sumatra, Indonesia","BMKG"
"132","bmg2021uwef","2021-10-24T17:50:43.693774Z","-6.042266846","122.5835419","2.737377196","M","16","15","101.9491539","Flores Sea","BMKG"
"133","bmg2021uwea","2021-10-24T17:44:19.246366Z","-0.8713515401","121.5235062","3.015461739","M","10","40","58.52705383","Minahassa Peninsula, Sulawesi","BMKG"
"134","bmg2021uwak","2021-10-24T15:54:36.046184Z","-1.01654613","127.2332687","2.44315539","M","10","14","133.8155541","Halmahera, Indonesia","BMKG"
"135","bmg2021uvxl","2021-10-24T14:25:00.163383Z","-3.789655209","128.6197662","2.618974355","M","10","14","205.7817459","Seram, Indonesia","BMKG"
"136","bmg2021uvxg","2021-10-24T14:19:09.08028Z","-9.115600586","116.5527115","2.724889825","M","17","22","214.029068","Sumbawa Region, Indonesia","BMKG"
"137","bmg2021uvxd","2021-10-24T14:15:38.264197Z","-2.656740904","128.8248291","2.738619249","M","10","14","96.09817886","Ceram Sea","BMKG"
"138","bmg2021uvwz","2021-10-24T14:11:26.276017Z","-7.182086945","107.2196579","3.249614545","M","10","40","92.14928436","Java, Indonesia","BMKG"
"139","bmg2021uvso","2021-10-24T11:56:34.00575Z","-9.208520889","112.0472336","3.79898815","M","60","38","209.0829468","South of Java, Indonesia","BMKG"
"140","bmg2021uvop","2021-10-24T09:57:01.052411Z","-1.339587808","120.4774475","2.516503929","M","10","16","101.9273834","Sulawesi, Indonesia","BMKG"
"141","bmg2021uvoe","2021-10-24T09:43:57.452276Z","-9.648610115","108.0676193","4.316375876","M","10","27","259.097702","South of Java, Indonesia","BMKG"
"142","bmg2021uvla","2021-10-24T08:08:54.788744Z","-2.858164549","129.2718658","3.202492862","M","11","11","196.0508804","Seram, Indonesia","BMKG"
"143","bmg2021uvft","2021-10-24T05:28:08.944266Z","1.292712212","122.6484985","4.239213726","MLv","10","18","201.9778824","Minahassa Peninsula, Sulawesi","BMKG"
"144","bmg2021uvdh","2021-10-24T04:13:29.738749Z","-2.155080557","100.6866913","3.596427288","M","29","26","93.97589111","Southern Sumatra, Indonesia","BMKG"
"145","bmg2021uvcv","2021-10-24T04:00:01.290578Z","-7.318253517","110.3743896","2.889431154","M","12","9","105.1135178","Java, Indonesia","BMKG"
"146","bmg2021uvbk","2021-10-24T03:22:08.100953Z","1.67313695","126.5107269","4.707469367","MLv","10","51","69.58674836","Northern Molucca Sea","BMKG"
"147","bmg2021uvba","2021-10-24T03:05:42.616125Z","1.101282716","121.149437","2.864798197","MLv","41","14","167.3394852","Minahassa Peninsula, Sulawesi","BMKG"
"148","bmg2021uuxx","2021-10-24T01:30:21.363284Z","-2.659730196","128.861496","4.641970217","M","10","30","48.19412994","Ceram Sea","BMKG"
"149","bmg2021uuvs","2021-10-24T00:24:03.251294Z","-2.794087887","122.1380081","4.585894637","M","10","46","59.197855","Sulawesi, Indonesia","BMKG"
"150","bmg2021uuvh","2021-10-24T00:11:37.414685Z","-8.588186264","118.4040985","2.371543368","M","119","14","154.716629","Sumbawa Region, Indonesia","BMKG"
"151","bmg2021uuuq","2021-10-23T23:52:06.833399Z","-7.334163666","110.4259491","3.375440909","M","10","29","59.31796265","Java, Indonesia","BMKG"
"152","bmg2021uuub","2021-10-23T23:34:25.095138Z","-4.854026794","101.8387146","5.14596806","Mw(mB)","42","299","172.8240356","Southern Sumatra, Indonesia","BMKG"
"153","bmg2021uusw","2021-10-23T22:57:58.114336Z","-7.303890705","110.4165955","3.515771797","MLv","10","25","57.12536621","Java, Indonesia","BMKG"
"154","bmg2021uusq","2021-10-23T22:50:43.341817Z","-7.28425169","110.340416","3.018703257","M","10","23","74.34354019","Java, Indonesia","BMKG"
"155","bmg2021uuot","2021-10-23T20:53:44.951511Z","0.9279879928","126.1513138","2.698797066","M","10","10","152.0439301","Northern Molucca Sea","BMKG"
"156","bmg2021uuoj","2021-10-23T20:42:05.08453Z","2.933495045","127.4507217","3.289966183","M","10","14","167.644989","Northern Molucca Sea","BMKG"
